,INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
0,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,20966.0,21740,34359.0,54974,26726.0,30793,20966.0,21740,24352.0,24352,34186.0,55055,44296.0,54415,37125.0,41173,39935.0,39935,60000,JNTUH
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",35426.0,38389,78257.0,83058,48920.0,85042,35426.0,38389,46745.0,62913,85240.0,85240,103904.0,120035,96716.0,125149,47072.0,53839,60000,JNTUH
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,53419.0,59451,108609.0,108609,80744.0,88363,53419.0,83832,72017.0,72017,101414.0,101414,120190.0,123215,87775.0,124052,61401.0,61465,60000,JNTUH
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,75671.0,83222,93677.0,108123,109952.0,114357,109513.0,109513,83519.0,85805,101414.0,101414,125839.0,125839,119610.0,124377,109617.0,109617,60000,JNTUH
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,75524.0,93070,75524.0,93070,75524.0,93070,75524.0,93070,116292.0,121081,109829.0,109829,125695.0,125695,124480.0,124480,112658.0,112658,60000,JNTUH
5,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,97735.0,108732,97735.0,108732,106115.0,110884,97735.0,108732,97735.0,108732,97735.0,108732,120769.0,126052,120005.0,120151,111627.0,111627,110000,JNTUH
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31109.0,31109,55395.0,55395,45014.0,48243,99224.0,99224,33916.0,41922,51462.0,51462,82321.0,97220,70102.0,102993,38098.0,38098,110000,JNTUH
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,20326.0,20326,40745.0,42711,31416.0,31485,20326.0,33033,26220.0,28106,34164.0,76023,58671.0,58671,36153.0,63467,25299.0,27101,110000,JNTUH
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",37677.0,37677,70199.0,101743,44245.0,46739,71806.0,71806,42871.0,42871,75384.0,87008,102662.0,112481,77640.0,108780,38647.0,38825,110000,JNTUH
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41122.0,41122,109728.0,114848,57408.0,60543,51835.0,51835,50671.0,57127,79018.0,79018,119153.0,121606,82512.0,97725,44454.0,44454,110000,JNTUH
