S.No,Institute Code,Institute Name,Place,Dist. Name,Region,CollegeType,Minority,Co-Educ.,Affil.to,BranchCode,fee,Convener Seats
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,CSE,60000,42
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,CSM,60000,42
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,ECE,60000,42
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,EEE,60000,42
5,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,NA,COED,JNTUH,MEC,60000,21
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,110000,42
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSD,110000,84
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,110000,126
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,110000,126
10,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSO,110000,42
11,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,110000,84
12,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,110000,21
13,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,INF,110000,42
14,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,110000,21
15,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CIV,75000,21
16,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,75000,84
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSM,75000,42
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,75000,42
